id,sub detector,depth,ieta,iphi
1125132330,1,1,-10,42
1125132331,1,1,-10,43
1125132332,1,1,-10,44
1125132333,1,1,-10,45
1125132334,1,1,-10,46
1125132335,1,1,-10,47
1125132336,1,1,-10,48
1125132337,1,1,-10,49
1125132338,1,1,-10,50
1125132339,1,1,-10,51
1125132340,1,1,-10,52
1125132341,1,1,-10,53
1125132342,1,1,-10,54
1125132343,1,1,-10,55
1125132344,1,1,-10,56
1125132345,1,1,-10,57
1125132346,1,1,-10,58
1125132347,1,1,-10,59
1125132348,1,1,-10,60
1125132349,1,1,-10,61
1125132350,1,1,-10,62
1125132351,1,1,-10,63
1125132352,1,1,-10,64
1125132353,1,1,-10,65
1125132354,1,1,-10,66
1125132355,1,1,-10,67
1125132356,1,1,-10,68
1125132357,1,1,-10,69
1125132358,1,1,-10,70
1125132359,1,1,-10,71
1125132360,1,1,-10,72
1125133313,1,1,-11,1
1125133314,1,1,-11,2
1125133315,1,1,-11,3
1125133316,1,1,-11,4
1125133317,1,1,-11,5
1125133318,1,1,-11,6
1125133319,1,1,-11,7
1125133320,1,1,-11,8
1125133321,1,1,-11,9
1125133322,1,1,-11,10
1125133323,1,1,-11,11
1125133324,1,1,-11,12
1125133325,1,1,-11,13
1125133326,1,1,-11,14
1125133327,1,1,-11,15
1125133328,1,1,-11,16
1125133329,1,1,-11,17
1125133330,1,1,-11,18
1125133331,1,1,-11,19
1125133332,1,1,-11,20
1125133333,1,1,-11,21
1125133334,1,1,-11,22
1125133335,1,1,-11,23
1125133336,1,1,-11,24
1125133337,1,1,-11,25
1125133338,1,1,-11,26
1125133339,1,1,-11,27
1125133340,1,1,-11,28
1125133341,1,1,-11,29
1125133342,1,1,-11,30
1125133343,1,1,-11,31
1125133344,1,1,-11,32
1125133345,1,1,-11,33
1125133346,1,1,-11,34
1125133347,1,1,-11,35
1125133348,1,1,-11,36
1125133349,1,1,-11,37
1125133350,1,1,-11,38
1125133351,1,1,-11,39
1125133352,1,1,-11,40
1125133353,1,1,-11,41
1125133354,1,1,-11,42
1125133355,1,1,-11,43
1125133356,1,1,-11,44
1125133357,1,1,-11,45
1125133358,1,1,-11,46
1125133359,1,1,-11,47
1125133360,1,1,-11,48
1125133361,1,1,-11,49
1125133362,1,1,-11,50
1125133363,1,1,-11,51
1125133364,1,1,-11,52
1125133365,1,1,-11,53
1125133366,1,1,-11,54
1125133367,1,1,-11,55
1125133368,1,1,-11,56
1125133369,1,1,-11,57
1125133370,1,1,-11,58
1125133371,1,1,-11,59
1125133372,1,1,-11,60
1125133373,1,1,-11,61
1125133374,1,1,-11,62
1125133375,1,1,-11,63
1125133376,1,1,-11,64
1125133377,1,1,-11,65
1125133378,1,1,-11,66
1125133379,1,1,-11,67
1125133380,1,1,-11,68
1125133381,1,1,-11,69
1125133382,1,1,-11,70
1125133383,1,1,-11,71
1125133384,1,1,-11,72
1125134337,1,1,-12,1
1125134338,1,1,-12,2
1125134339,1,1,-12,3
1125134340,1,1,-12,4
1125134341,1,1,-12,5
1125134342,1,1,-12,6
1125134343,1,1,-12,7
1125134344,1,1,-12,8
1125134345,1,1,-12,9
1125134346,1,1,-12,10
1125134347,1,1,-12,11
1125134348,1,1,-12,12
1125134349,1,1,-12,13
1125134350,1,1,-12,14
1125134351,1,1,-12,15
1125134352,1,1,-12,16
1125134353,1,1,-12,17
1125134354,1,1,-12,18
1125134355,1,1,-12,19
1125134356,1,1,-12,20
1125134357,1,1,-12,21
1125134358,1,1,-12,22
1125134359,1,1,-12,23
1125134360,1,1,-12,24
1125134361,1,1,-12,25
1125134362,1,1,-12,26
1125134363,1,1,-12,27
1125134364,1,1,-12,28
1125134365,1,1,-12,29
1125134366,1,1,-12,30
1125134367,1,1,-12,31
1125134368,1,1,-12,32
1125134369,1,1,-12,33
1125134370,1,1,-12,34
1125134371,1,1,-12,35
1125134372,1,1,-12,36
1125134373,1,1,-12,37
1125134374,1,1,-12,38
1125134375,1,1,-12,39
1125134376,1,1,-12,40
1125134377,1,1,-12,41
1125134378,1,1,-12,42
1125134379,1,1,-12,43
1125134380,1,1,-12,44
1125134381,1,1,-12,45
1125134382,1,1,-12,46
1125134383,1,1,-12,47
1125134384,1,1,-12,48
1125134385,1,1,-12,49
1125134386,1,1,-12,50
1125134387,1,1,-12,51
1125134388,1,1,-12,52
1125134389,1,1,-12,53
1125134390,1,1,-12,54
1125134391,1,1,-12,55
1125134392,1,1,-12,56
1125134393,1,1,-12,57
1125134394,1,1,-12,58
1125134395,1,1,-12,59
1125134396,1,1,-12,60
1125134397,1,1,-12,61
1125134398,1,1,-12,62
1125134399,1,1,-12,63
1125134400,1,1,-12,64
1125134401,1,1,-12,65
1125134402,1,1,-12,66
1125134403,1,1,-12,67
1125134404,1,1,-12,68
1125134405,1,1,-12,69
1125134406,1,1,-12,70
1125134407,1,1,-12,71
1125134408,1,1,-12,72
1125135361,1,1,-13,1
1125135362,1,1,-13,2
1125135363,1,1,-13,3
1125135364,1,1,-13,4
1125135365,1,1,-13,5
1125135366,1,1,-13,6
1125135368,1,1,-13,8
1125135369,1,1,-13,9
1125135370,1,1,-13,10
1125135371,1,1,-13,11
1125135372,1,1,-13,12
1125135373,1,1,-13,13
1125135374,1,1,-13,14
1125135375,1,1,-13,15
1125135376,1,1,-13,16
1125135377,1,1,-13,17
1125135378,1,1,-13,18
1125135379,1,1,-13,19
1125135380,1,1,-13,20
1125135381,1,1,-13,21
1125135382,1,1,-13,22
1125135383,1,1,-13,23
1125135384,1,1,-13,24
1125135385,1,1,-13,25
1125135386,1,1,-13,26
1125135387,1,1,-13,27
1125135388,1,1,-13,28
1125135389,1,1,-13,29
1125135390,1,1,-13,30
1125135391,1,1,-13,31
1125135392,1,1,-13,32
1125135393,1,1,-13,33
1125135394,1,1,-13,34
1125135395,1,1,-13,35
1125135396,1,1,-13,36
1125135397,1,1,-13,37
1125135398,1,1,-13,38
1125135399,1,1,-13,39
1125135400,1,1,-13,40
1125135401,1,1,-13,41
1125135402,1,1,-13,42
1125135403,1,1,-13,43
1125135404,1,1,-13,44
1125135405,1,1,-13,45
1125135406,1,1,-13,46
1125135407,1,1,-13,47
1125135408,1,1,-13,48
1125135409,1,1,-13,49
1125135410,1,1,-13,50
1125135411,1,1,-13,51
1125135412,1,1,-13,52
1125135413,1,1,-13,53
1125135414,1,1,-13,54
1125135415,1,1,-13,55
1125135416,1,1,-13,56
1125135417,1,1,-13,57
1125135418,1,1,-13,58
1125135419,1,1,-13,59
1125135420,1,1,-13,60
1125135421,1,1,-13,61
1125135422,1,1,-13,62
1125135423,1,1,-13,63
1125135424,1,1,-13,64
1125135425,1,1,-13,65
1125135426,1,1,-13,66
1125135427,1,1,-13,67
1125135428,1,1,-13,68
1125135429,1,1,-13,69
1125135430,1,1,-13,70
1125135431,1,1,-13,71
1125135432,1,1,-13,72
1125136385,1,1,-14,1
1125136386,1,1,-14,2
1125136387,1,1,-14,3
1125136388,1,1,-14,4
1125136389,1,1,-14,5
1125136390,1,1,-14,6
1125136391,1,1,-14,7
1125136392,1,1,-14,8
1125136393,1,1,-14,9
1125136394,1,1,-14,10
1125136395,1,1,-14,11
1125136396,1,1,-14,12
1125136397,1,1,-14,13
